id,name,description,is_active,need_approval,created_at,updated_at,role_id,reports_to_role_id
413,campaigns.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
414,campaigns.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
415,campaigns.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
416,comments.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
417,comments.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
418,comments.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
419,comments.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
420,comments.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
421,contents.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
422,contents.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
423,contents.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
424,contents.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
425,contents.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
426,general.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
427,general.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
428,general.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
429,general.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
430,general.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
431,media.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
432,media.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
433,media.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
434,media.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
435,media.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
436,messages.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
437,messages.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
438,messages.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
439,messages.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
440,messages.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
441,notifications.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
442,notifications.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
443,notifications.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
444,notifications.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
445,notifications.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
446,resources.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
