id,domain,type,created_at,updated_at,user_id,is_active
292,.condos,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
293,.construction,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
294,.consulting,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
295,.contact,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
296,.contractors,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
297,.cooking,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
298,.cookingchannel,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
299,.cool,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
300,.coop,sponsored,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
301,.corsica,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
302,.country,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
303,.coupon,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
304,.coupons,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
305,.courses,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
306,.cpa,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
307,.cr,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
308,.credit,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
309,.creditcard,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
310,.creditunion,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
311,.cricket,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
312,.crown,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
313,.crs,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
314,.cruise,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
315,.cruises,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
316,.csc,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
317,.cu,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
318,.cuisinella,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
319,.cv,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
320,.cw,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
321,.cx,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
322,.cy,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
323,.cymru,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
324,.cyou,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
325,.cz,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
326,.dabur,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
327,.dad,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
328,.dance,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
329,.data,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
330,.date,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
331,.dating,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
332,.datsun,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
333,.day,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
334,.dclk,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
335,.dds,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
336,.de,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
337,.deal,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
338,.dealer,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
339,.deals,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
340,.degree,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
341,.delivery,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
342,.dell,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
343,.deloitte,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
344,.delta,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
345,.democrat,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
346,.dental,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
347,.dentist,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
348,.desi,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
349,.design,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
350,.dev,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
